,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional
127,ADABUSD,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1000000.0,BOTH,0.0,0.0,0.0,1647995207071.0,0.0,0.0
128,RENUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,1622058835181.0,0.0,0.0
129,LPTUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
130,JASMYUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
131,EGLDUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1654255127941.0,0.0,0.0
132,LUNA2USDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
133,ONTUSDT,152.81817496,15.28181749,-472.8605575,152.81817496,0.0,10.0,0.0,0.2265185614507,100000.0,BOTH,8833.9,1528.18174967,0.0,1667052263466.0,0.0,0.0
134,VETUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1653635275578.0,0.0,0.0
135,IMXUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
136,COTIUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1638597840872.0,0.0,0.0
137,CVXUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
138,BAKEUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1651895590988.0,0.0,0.0
139,GRTUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
140,FLMUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1631064518641.0,0.0,0.0
141,GALABUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
142,MASKUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
143,EOSUSDT,228.55518462,10.39926038,-400.65338758,228.55518462,0.0,7.0,0.0,1.139,1000000.0,BOTH,1756.4,1599.88621241,0.0,1667051494761.0,0.0,0.0
144,BALUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1650563109167.0,0.0,0.0
145,DENTUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1638595420762.0,0.0,0.0
146,MATICBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
147,C98USDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1638595841929.0,0.0,0.0
148,ZENUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1663268518727.0,0.0,0.0
149,NEARUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,500000.0,BOTH,0.0,0.0,0.0,1650963984002.0,0.0,0.0
150,AUCTIONBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
151,BCHUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1668345232944.0,0.0,0.0
152,LUNA2BUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1660864814340.0,0.0,0.0
153,LTCBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
154,1000SHIBUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,500000.0,BOTH,0.0,0.0,0.0,1645654615344.0,0.0,0.0
155,TLMBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
156,TLMUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1654203446706.0,0.0,0.0
157,ANTUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1653575502738.0,0.0,0.0
158,ETHBUSD,2148.36246622,103.12139012,4075.53083756,2148.36246622,0.0,12.0,0.0,1406.571109487,1000000.0,BOTH,-21.226,-25780.34753225,0.0,1658422704867.0,0.0,0.0
159,AAVEUSDT,350.5707461,28.04565968,1180.11068812,350.5707461,0.0,8.0,0.0,84.96112275358,100000.0,BOTH,-46.9,-2804.56596885,0.0,1667039493862.0,0.0,0.0
160,ICPUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
161,1000LUNCUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
162,AVAXUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1640076154879.0,0.0,0.0
163,ROSEUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
164,MATICUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,500000.0,BOTH,0.0,0.0,0.0,1634032572797.0,0.0,0.0
165,MKRUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
166,PEOPLEUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1649088876109.0,0.0,0.0
167,ANCBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
168,THETAUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1652212251361.0,0.0,0.0
169,UNIUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1646769138518.0,0.0,0.0
170,RVNUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1631057121110.0,0.0,0.0
171,NKNUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
172,KLAYUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1637040404238.0,0.0,0.0
173,DEFIUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1650541096145.0,0.0,0.0
174,COMPUSDT,278.11002781,30.5921,-941.04540992,278.11002781,0.0,11.0,0.0,51.95136896104,25000.0,BOTH,77.0,3059.21,0.0,1667039483865.0,0.0,0.0
175,BTCDOMUSDT,4825.43860924,318.91577731,494.70980746,1575.66310924,3249.7755,10.0,0.0,1312.709281098,25000.0,BOTH,-12.38,-15756.63109243,0.0,1668044976621.0,0.0,32497.755
176,BTCUSDT,105.79994,6.69836,-107.59731613,83.7295,22.07044,20.0,0.0,17821.87316135,1000000.0,BOTH,0.1,1674.59,0.0,1668730224199.0,441.4088,2700.93379
