,symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time
147,C98USDT,0.27621651,0.27618171,0.27404335,0.0001,0.0001,1668787200000.0,1668765956002.0
148,ZENUSDT,9.99,10.00076029,10.00001559,0.0001,0.0001,1668787200000.0,1668765956002.0
149,NEARUSDT,1.833,1.83292476,1.83024483,0.0001,0.0001,1668787200000.0,1668765956002.0
150,AUCTIONBUSD,4.633,4.63694969,4.63020553,0.0001,0.0001,1668787200000.0,1668765956002.0
151,BCHUSDT,104.47,104.54598415,104.36172318,-7.18e-05,0.0001,1668787200000.0,1668765956002.0
152,LUNA2BUSD,1.70719596,1.70806549,1.71196233,0.0001,0.0001,1668787200000.0,1668765956002.0
153,LTCBUSD,62.65557095,62.7024383,62.4043626,-3.09e-06,0.0001,1668787200000.0,1668765956002.0
154,1000SHIBUSDT,0.00914008,0.00913941,0.00912346,0.0001,0.0001,1668787200000.0,1668765956002.0
155,TLMBUSD,0.01522519,0.01523041,0.01524499,0.0001,0.0001,1668787200000.0,1668765956002.0
156,TLMUSDT,0.01523927,0.01523871,0.0,0.0001,0.0001,1668787200000.0,1668765956002.0
157,ANTUSDT,2.06859433,2.07190388,2.07092328,0.0001,0.0001,1668787200000.0,1668765956002.0
158,ETHBUSD,1214.56456856,1215.55676708,1213.59176684,-0.00016436,0.0001,1668787200000.0,1668765956002.0
159,AAVEUSDT,59.79884795,59.79443728,59.62393788,0.0001,0.0001,1668787200000.0,1668765956002.0
160,ICPUSDT,3.827,3.82730766,3.83057336,0.0001,0.0001,1668787200000.0,1668765956002.0
161,1000LUNCUSDT,0.1788,0.17892128,0.17823177,0.0001,0.0001,1668787200000.0,1668765956002.0
162,AVAXUSDT,13.121,13.12690408,13.08353176,-8.82e-05,0.0001,1668787200000.0,1668765956002.0
163,ROSEUSDT,0.04711,0.04715206,0.04704381,9.36e-05,0.0001,1668787200000.0,1668765956002.0
164,MATICUSDT,0.8882,0.88829837,0.8868384,2.842e-05,0.0001,1668787200000.0,1668765956002.0
165,MKRUSDT,657.6,658.05786839,654.87957502,-5.902e-05,0.0001,1668787200000.0,1668765956002.0
166,PEOPLEUSDT,0.02332397,0.02332225,0.02335449,0.0001,0.0001,1668787200000.0,1668765956002.0
167,ANCBUSD,0.05604702,0.05604289,0.05608396,-0.00050203,0.0001,1668787200000.0,1668765956002.0
168,THETAUSDT,0.90808664,0.90810471,0.90523876,-2.072e-05,0.0001,1668787200000.0,1668765956002.0
169,UNIUSDT,6.0140578,6.01420734,6.00204958,-5.954e-05,0.0001,1668787200000.0,1668765956002.0
170,RVNUSDT,0.02148558,0.021484,0.0214576,0.0001,0.0001,1668787200000.0,1668765956002.0
171,NKNUSDT,0.07734878,0.07730396,0.0772276,0.0001,0.0001,1668787200000.0,1668765956002.0
172,KLAYUSDT,0.17136472,0.17135208,0.17106647,0.0001,0.0001,1668787200000.0,1668765956002.0
173,DEFIUSDT,539.2,539.62195672,538.62335146,-2.564e-05,0.0001,1668787200000.0,1668765956002.0
174,COMPUSDT,39.73,39.74531629,39.76819521,0.0001,0.0001,1668787200000.0,1668765956002.0
